datapoint,factValue
dp3529399,7075517.082900003
dp3529405,135651992.21542493
dp3529406,-87542247.18322493
dp3529407,136381588.15312502
dp3529421,48109745.0322
dp3529422,55185262.115100004
dp3529423,81196326.03802502
dp3529515,88443963.53625003
dp3529519,-1094278089.7903116
dp3529520,689815776.43875
dp3529521,601371812.9025
dp3529523,1704769851.9140627
dp3529524,50015250
dp3529525,1228207207.8858116
dp3529526,417427444.807
dp3529532,-827446343.9670615
dp3529533,-266831745.82324997
dp3529534,45320887.5
dp3529535,488334313.1775
dp3529536,156160575.76125002
dp3529537,50015250
dp3529583,242254732.84674996
dp3529584,772699342.6285627
dp3529590,1014954075.4753127
dp3529591,1695649902.6928115
dp3529658,150595698.98375002
dp3529659,400760863.91875
dp3529684,-4694362.5
dp3529686,5564876.777500004
dp3529699,1261033655.8060627
dp3529717,87573449.25875002
dp3529763,45320887.5
dp3529765,398415308.608
