datapoint,factValue
dp3295620,992621.5875
dp3295621,1553779246.514329
dp3295823,16217741346.250004
dp3529397,124302339.72114632
dp3529424,614473.9193295172
dp3530253,1573405677.3891275
dp3530254,8071035.454499999
dp3530255,4551893.967618962
dp3530256,7680923.991618964
dp3530261,110566121.77016693
dp3530263,3129030.0239999997
dp3530266,1048037400
dp3530270,104559786752.40018
dp3530271,34906042531.280174
dp3530272,20077754456.600002
dp3530275,1553779246.514329
dp3530276,1573405677.3891275
dp3530277,2041940685.2222779
dp3530279,49175989764.52
dp3530280,695920919.04
dp3530281,496225925.42
dp3530282,246022350.55983305
dp3530283,1548735316.79
dp3530284,125930656892.75589
dp3530285,1113122965
dp472886,2792483402.502414
dp472887,33944406834.57037
dp472891,8364782940.192015
dp472892,102849245755.35522
dp472897,1297419307.7000003
dp472898,16217741346.250004
dp472900,163355254.81778222
dp472901,1978341853.6672754
dp473217,3934079181.1615996
dp473436,48257062968.31913
dp474579,1606220356.528
dp474693,20647775952.581238
dp475194,89049837.2
dp475198,364151.51740951696
dp475199,8071035.454499999
dp475203,250322.40192
dp475423,79409.727
dp475424,123898825.3432
dp475425,55673673.5232
dp475426,39698074.0336
dp475427,19681788.044786643
dp475428,8845289.741613355
dp475430,124302339.72114632
dp475431,10074452551.420471
dp475433,303975.79
dp475434,1687747271.7718687
dp475437,641682001.4
dp475439,671661601.71
dp475441,277270247.14999986
dp475443,97133421.51186882
dp475449,124314856915.678
