datapoint,factValue
dp3529538,7110617637.789671
dp3529540,1132500184.47917
dp3529542,742859038.9782854
dp3529624,3883603959.96837
dp3529625,6769205171.272343
dp3529639,29503602523.235756
dp3529644,1043398992.6745322
dp3529646,6014287949.7676325
dp3529649,35881484832.86865
dp3529650,2295600194.27885
dp3529651,21693991.7021657
dp3529652,48269734618.859146
dp3529654,10089114152.803442
dp3529771,104159786752.40619
dp3529778,18399102680.12898
dp3529782,606832118.9762498
dp3529783,1181967652.166934
dp3529784,90684253.65277755
dp3529785,4962565439.506564
dp3529786,1541377021.0745647
dp3529787,18791864.07
