datapoint,factValue
dp3525230,72883478602.14418
dp3525235,71495681857.41
dp3525237,72621143346.92168
dp3525246,4871670798.3275
dp3525249,4794053780.304999
dp3525253,521317635.2558333
dp3525254,865448161.065
dp3525255,10412339344.5
dp3525259,4757669768.107959
dp3525260,4880967711.284
dp3525261,4758986060.098333
dp3525262,4775120447
dp3525263,4705555863.371501
dp3525264,3520855858.771667
dp3525265,3616635204.5783334
dp3525266,39528363468.25584
dp3525267,9472062420.484167
dp3525268,9418844544.575834
dp3525269,9334981427.166666
dp3525270,9586523574.655
dp3525271,50713977823.18834
dp3525272,49540071711.79417
dp3525273,49758526871.083336
dp3525274,50682043453.97416
dp3525275,1022359765.0174999
dp3525276,1143097142.8333333
dp3525277,1036058310.1716667
dp3525278,6462318437.0275
dp3525279,6578562948.588333
dp3525280,6997718023.416667
dp3525281,6215785753.228333
dp3525282,4828959807.224999
dp3525283,71959797026.66667
dp3525295,40849622496.1675
dp3525296,39386322187.333336
dp3525297,40730803527.38917
dp3525298,1038581688.0008334
dp3525301,4961148586.083333
dp3525303,5100603770.656667
dp3525304,5239747318.390834
dp3525305,5451190758.416667
dp3525306,5019963773.530833
dp3525307,571641236.6725
dp3525308,492217525.3333333
dp3525309,800543398.4916667
dp3525310,911538523.6775001
dp3525311,818634715.75
dp3525312,964292311.0158333
dp3525313,9929563577.881666
dp3525314,10111418116.718334
dp3525315,9814017553.835833
dp3525321,4659858484.477792
dp3525322,4559860980.166667
dp3525323,4714392652.37675
dp3525324,3433145294.9500003
dp3525325,3374486660.3333335
dp3525698,97619354226.76411
dp3525699,36156942497.640785
dp3525700,14346818369.166666
dp3525701,67074416701.69
dp3525702,68058842144.64084
dp3525703,149816658816.83914
dp3525704,147490557069.96582
dp3525705,144788033676.75
dp3525706,151725508580.30502
dp3525708,45339463256.083336
dp3525709,46274528212.583336
dp3525710,44140934156.75
dp3525711,1183753476.2938108
dp3525712,814623660.0597525
dp3525713,1337341182.7101266
dp3525714,24569616201.0425
dp3525715,23019613586
dp3525716,51235676798.66667
dp3525717,48934987937.05596
dp3525721,64107439397.583336
dp3525722,65117594118.43917
dp3525723,15276800240.985832
dp3525724,14510203330.333334
dp3525725,14880106650.960001
dp3525726,36368177063.42925
dp3525727,36263945857.666664
dp3525728,36272055442.55694
dp3525729,91197219601.25
dp3525730,93197169687.30603
dp3525731,95153395361.0763
dp3525732,50211134054.41081
dp3525733,49477674730.975296
dp3525734,28175988340.23
dp3525735,26290693898.129166
dp3525736,863352412.1666666
dp3525738,4871670798.32748
dp3525740,4828959807.225293
dp3525742,6462318437.027408
dp3525743,88416841789.67741
dp3525744,44648714923.75
dp3525745,86206360397.36101
dp3525746,85451975790.16667
dp3525747,89551428138.85454
dp3525748,6578562948.588506
dp3525749,6997718023.416667
dp3525750,6215785753.227867
dp3525751,4961148586.083333
dp3525753,4794053780.305964
