datapoint,factValue
dp3525231,8844547859.015833
dp3525232,38605429.19416667
dp3525233,8371404395.083333
dp3525234,63023077.583333336
dp3525236,53652474.84916667
dp3525240,8371404395.083333
dp3525241,8476594539.045834
dp3525245,2546821476.9966664
dp3525250,5811252288.508334
dp3525251,5686041035.591666
dp3525252,5727392076.583333
dp3525284,8286514987.4375
dp3525285,8476594539.045834
dp3525286,45361917.682500005
dp3525289,8844547859.015833
dp3525290,8286514987.4375
dp3525292,2712742254.5866666
dp3525293,2580989240.9166665
dp3525294,2619980332.855
dp3525302,6093200175.235001
dp3525326,50581118927.97588
dp3525327,45090072902.20833
dp3525328,30612731324.20833
dp3525329,47529335539.05488
dp3525330,32873994997.786667
dp3525331,49069804367.19655
dp3525332,33980831274.286667
dp3525336,49734100083.345
dp3525337,48584353666.03333
dp3525340,3762347922.9026437
dp3525341,3580388420.4166665
dp3525342,3550602853.5594807
dp3525343,3647041821.784481
dp3525344,10896953157.583334
dp3525345,34943446948.870834
dp3525347,44964530154.083336
dp3525348,47043884837.89166
dp3525351,11875324056.202402
dp3525352,11104737687.708733
dp3525353,11441931271.125399
